acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac975,O=C(O)C(=O)c1cccc(C(F)(F)F)c1,218.13,15,2,other,c1ccccc1
Ac976,CCOc1ccc(CC(=O)O)cc1OCC,224.256,16,6,acyclic_ali,c1ccccc1
Ac977,NS(=O)(=O)c1ccc(CCC(=O)O)cc1,229.257,15,4,acyclic_ali,c1ccccc1
Ac979,O=C(O)c1cc([N+](=O)[O-])c(Cl)cc1Cl,236.01,14,2,benzoic,c1ccccc1
Ac980,Cc1oc(-c2ccccc2)nc1CC(=O)O,217.224,16,3,acyclic_ali,c1ccc(-c2ncco2)cc1
Ac982,CCCCCCCCC/C(=C\C1=C(C)C(=O)C(OC)=C(OC)C1=O)C(=O)O,378.465,27,12,other,O=C1C=CC(=O)C=C1
Ac983,O=C(O)Cc1ccc(Br)cn1,216.034,11,2,acyclic_ali,c1ccncc1
Ac985,O=C(O)c1cccc(S(=O)(=O)N2CCOCC2)c1,271.294,18,3,benzoic,O=S(=O)(c1ccccc1)N1CCOCC1
Ac986,O=C(O)c1ccc(Cl)nc1C(F)(F)F,225.553,14,1,aryl_other,c1ccncc1
Ac987,O=C(O)c1ncc(Br)cc1F,219.997,11,1,heteroaryl,c1ccncc1
Ac990,O=C(O)c1ccc(Br)c(F)c1F,236.999,12,1,benzoic,c1ccccc1
Ac991,O=C(O)c1cc(-c2ccc(F)cc2)nc2ccccc12,267.259,20,2,aryl_other,c1ccc(-c2ccc3ccccc3n2)cc1
Ac992,O=C(O)c1cc(Br)cnc1F,219.997,11,1,aryl_other,c1ccncc1
Ac997,COc1ccc(I)cc1C(=O)O,278.045,12,2,benzoic,c1ccccc1
Ac999,O=C(O)Cc1ccc(F)c(Br)c1,233.036,12,2,acyclic_ali,c1ccccc1
Ac1000,O=C(O)CS(=O)(=O)Cc1ccc(Cl)cc1,248.687,15,4,acyclic_ali,c1ccccc1
Ac1001,O=C(O)CCCCCCCCc1ccccc1,234.339,17,9,acyclic_ali,c1ccccc1
Ac1002,CCOc1ccc(C(=O)CCC(=O)O)cc1,222.24,16,6,acyclic_ali,c1ccccc1
Ac1003,O=C(O)c1cccc(S(F)(F)(F)(F)F)c1,248.172,15,2,benzoic,c1ccccc1
Ac1005,C[Si](C)(C)C#Cc1ccc(C(=O)O)cc1,218.328,15,1,benzoic,c1ccccc1
Ac1007,O=C(O)c1ccc(C(F)(F)F)c([N+](=O)[O-])c1,235.117,16,2,benzoic,c1ccccc1
Ac1008,O=C(O)Cc1cccc(CBr)c1,229.073,12,3,acyclic_ali,c1ccccc1
Ac1009,CC(C)(C)OC(=O)C[C@@H](Cc1ccccc1)C(=O)O,264.321,19,5,acyclic_ali,c1ccccc1
Ac1010,O=C(O)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,354.409,27,5,heteroaryl,c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1
Ac1011,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc(S(C)(=O)=O)cc1,372.417,26,4,acyclic_ali,C1=Cc2ccccc2C1=Cc1ccccc1
Ac1012,O=C(O)CCc1ccc(OC(F)(F)F)cc1,234.173,16,4,acyclic_ali,c1ccccc1
Ac1013,O=C(O)c1cc(Cl)ncc1C(F)(F)F,225.553,14,1,aryl_other,c1ccncc1
Ac1014,CCCN(CCC)C(=O)c1cccc(C(=O)O)c1,249.31,18,6,benzoic,c1ccccc1
Ac1015,COC(=O)c1cc(C(=O)O)cc(N(C)S(C)(=O)=O)c1,287.293,19,4,benzoic,c1ccccc1
Ac1017,O=C(O)Cc1cc(F)ccc1Br,233.036,12,2,acyclic_ali,c1ccccc1
Ac1019,O=C(O)c1ccc(I)s1,254.048,9,1,heteroaryl,c1ccsc1
Ac1020,O=C(O)c1cccc2cc3ccccc3nc12,223.231,17,1,benzoic,c1ccc2nc3ccccc3cc2c1
Ac1024,COc1ccc(S(C)(=O)=O)cc1C(=O)O,230.241,15,3,benzoic,c1ccccc1
Ac1026,O=C(O)CCCCCCCCCCCc1ccccc1,276.42,20,12,acyclic_ali,c1ccccc1
Ac1027,CCOC(=O)c1cc(C(=O)O)cc(C(=O)OCC)c1,266.249,19,5,benzoic,c1ccccc1
Ac1028,CC(C)(C)OC(=O)c1ccccc1C(=O)O,222.24,16,2,benzoic,c1ccccc1
Ac1030,O=C(O)CCSc1ccc(Br)cc1,261.14,13,4,acyclic_ali,c1ccccc1
Ac1035,COc1cc2ccc(C(=O)O)cc2cc1OC,232.235,17,3,benzoic,c1ccc2ccccc2c1
Ac1036,COc1c(Cl)cc(Cl)cc1C(=O)O,221.039,13,2,benzoic,c1ccccc1
Ac1037,O=C(O)c1cc(S(=O)(=O)Cl)c(Cl)cc1Cl,289.523,15,2,benzoic,c1ccccc1
Ac1038,CCOP(=O)(Cc1ccc(C(=O)O)cc1)OCC,272.237,18,7,benzoic,c1ccccc1
Ac1039,Cc1c(C(=O)O)nnn1-c1ccc(Cl)cc1,237.646,16,2,heteroaryl,c1ccc(-n2ccnn2)cc1
Ac1040,Cc1ccc(S(=O)(=O)Cl)cc1C(=O)O,234.66,14,2,benzoic,c1ccccc1
Ac1041,CC(Oc1cccc2ccccc12)C(=O)O,216.236,16,3,acyclic_ali,c1ccc2ccccc2c1
Ac1042,O=C(O)c1ccc(Br)cc1C(F)(F)F,269.016,14,1,benzoic,c1ccccc1
Ac1043,CCC(C)(C)c1ccc(OCC(=O)O)c(C(C)(C)CC)c1,292.419,21,7,acyclic_ali,c1ccccc1
Ac1044,O=Cc1cc(Br)ccc1C(=O)O,229.029,12,2,benzoic,c1ccccc1
Ac1048,O=C(O)c1cc(Br)ncc1F,219.997,11,1,aryl_other,c1ccncc1
Ac1049,CC(C)(C)OC(=O)N1CCN(c2ccc(C(=O)O)cn2)CC1,307.35,22,2,aryl_other,c1ccc(N2CCNCC2)nc1
Ac1051,O=C(O)c1cc(Cl)cc(C(F)(F)F)c1,224.565,14,1,benzoic,c1ccccc1
Ac1052,CC(C)(C)OC(=O)N1CC2(CC(C(=O)O)C2)C1,241.287,17,1,cyclic_ali,C1CC2(C1)CNC2
Ac1055,O=C(O)/C=C/c1ccc(Br)s1,233.086,11,2,other,c1ccsc1
Ac1056,COc1ccc2nc(-c3ccccc3)cc(C(=O)O)c2c1,279.295,21,3,aryl_other,c1ccc(-c2ccc3ccccc3n2)cc1
Ac1057,Cc1noc(-c2ccc(Br)cc2)c1C(=O)O,282.093,16,2,aryl_other,c1ccc(-c2ccno2)cc1
Ac1059,O=C(O)CCCCCCCCCCN1C(=O)C=CC1=O,281.352,20,11,acyclic_ali,O=C1C=CC(=O)N1
Ac1060,O=C(O)Cc1ccccc1CBr,229.073,12,3,acyclic_ali,c1ccccc1
Ac1061,O=C(O)COc1cc(Cl)cc(Cl)c1,221.039,13,3,acyclic_ali,c1ccccc1
Ac1062,O=C(O)CC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,405.708,26,5,acyclic_ali,c1ccc(C(c2ccccc2)c2ccccc2)cc1
Ac1063,O=C(O)CSc1cccc(Br)c1,247.113,12,3,acyclic_ali,c1ccccc1
Ac1065,O=C(O)CCCCCCCCCCCc1ccc2ccc3cccc4ccc1c2c34,400.562,30,12,acyclic_ali,c1cc2ccc3cccc4ccc(c1)c2c34
Ac1066,CC(C)(Oc1ccc(Br)cc1)C(=O)O,259.099,14,3,acyclic_ali,c1ccccc1
Ac1067,Cc1ccc(C)c(C(=O)c2ccccc2C(=O)O)c1,254.285,19,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac1069,CC(C)c1ccc(C(=O)CCC(=O)O)cc1,220.268,16,5,acyclic_ali,c1ccccc1
Ac1070,O=C(O)/C=C(\I)c1ccccc1,274.057,12,2,other,c1ccccc1
Ac1071,O=C(O)c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,269.562,17,2,benzoic,c1ccccc1
Ac1073,O=C(O)/C=C/c1cc(Br)cs1,233.086,11,2,other,c1ccsc1
Ac1074,COc1ccc(C(=O)O)cc1C(F)(F)F,220.146,15,2,benzoic,c1ccccc1
Ac1075,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)O,268.212,17,2,benzoic,c1ccccc1
Ac1076,CSc1nc(Cl)c(C(=O)O)c(Cl)n1,239.083,13,2,aryl_other,c1cncnc1
Ac1077,O=C(O)c1cc(Br)cc(OC(F)(F)F)c1,285.015,15,2,benzoic,c1ccccc1
